# QT Clean v6 reviewed narrative corrections. License: CC0-1.0
# source<TAB>Vietnamese<TAB>type<TAB>provenance
崔桂英	Thôi Quế Anh	name	project:qt-corrections-v6:laoshiren-name
李维汉	Lý Duy Hán	name	project:qt-corrections-v6:laoshiren-name
李追远	Lý Truy Viễn	name	project:qt-corrections-v6:laoshiren-name
远子	Viễn Tử	name	project:qt-corrections-v6:laoshiren-name
小远侯	Tiểu Viễn Hầu	name	project:qt-corrections-v6:laoshiren-name
潘子	Phan Tử	name	project:qt-corrections-v6:laoshiren-name
雷子	Lôi Tử	name	project:qt-corrections-v6:laoshiren-name
英子	Anh Tử	name	project:qt-corrections-v6:laoshiren-name
虎子	Hổ Tử	name	project:qt-corrections-v6:laoshiren-name
石头	Thạch Đầu	name	project:qt-corrections-v6:laoshiren-name
小黄莺	Tiểu Hoàng Oanh	name	project:qt-corrections-v6:laoshiren-name
黄莺	Hoàng Oanh	name	project:qt-corrections-v6:laoshiren-name
肖黄英	Tiêu Hoàng Anh	name	project:qt-corrections-v6:laoshiren-name
赵四美	Triệu Tứ Mỹ	name	project:qt-corrections-v6:laoshiren-name
大胡子	Râu Xồm	name	project:qt-corrections-v6:laoshiren-name
娟侯	Quyên Hầu	name	project:qt-corrections-v6:laoshiren-name
奶奶	bà	general	project:qt-corrections-v6:kinship
爷爷	ông	general	project:qt-corrections-v6:kinship
爹妈	cha mẹ	general	project:qt-corrections-v6:kinship
爹娘	cha mẹ	general	project:qt-corrections-v6:kinship
老娘	mẹ già	general	project:qt-corrections-v6:kinship
闺女	con gái	general	project:qt-corrections-v6:kinship
姑爷	con rể	general	project:qt-corrections-v6:kinship
外孙	cháu ngoại	general	project:qt-corrections-v6:kinship
亲孙	cháu ruột	general	project:qt-corrections-v6:kinship
孙子	cháu trai	general	project:qt-corrections-v6:kinship
孙女	cháu gái	general	project:qt-corrections-v6:kinship
朕	trẫm	general	project:qt-corrections-v6:ancient-address
寡人	quả nhân	general	project:qt-corrections-v6:ancient-address
本王	bổn vương	general	project:qt-corrections-v6:ancient-address
本宫	bổn cung	general	project:qt-corrections-v6:ancient-address
哀家	ai gia	general	project:qt-corrections-v6:ancient-address
臣妾	thần thiếp	general	project:qt-corrections-v6:ancient-address
微臣	vi thần	general	project:qt-corrections-v6:ancient-address
臣	thần	general	project:qt-corrections-v6:ancient-address
奴婢	nô tỳ	general	project:qt-corrections-v6:ancient-address
奴才	nô tài	general	project:qt-corrections-v6:ancient-address
下官	hạ quan	general	project:qt-corrections-v6:ancient-address
草民	thảo dân	general	project:qt-corrections-v6:ancient-address
小人	tiểu nhân	general	project:qt-corrections-v6:ancient-address
民女	dân nữ	general	project:qt-corrections-v6:ancient-address
在下	tại hạ	general	project:qt-corrections-v6:ancient-address
老夫	lão phu	general	project:qt-corrections-v6:ancient-address
老身	lão thân	general	project:qt-corrections-v6:ancient-address
贫道	bần đạo	general	project:qt-corrections-v6:ancient-address
贫僧	bần tăng	general	project:qt-corrections-v6:ancient-address
陛下	bệ hạ	general	project:qt-corrections-v6:ancient-title
皇上	hoàng thượng	general	project:qt-corrections-v6:ancient-title
殿下	điện hạ	general	project:qt-corrections-v6:ancient-title
娘娘	nương nương	general	project:qt-corrections-v6:ancient-title
王爷	vương gia	general	project:qt-corrections-v6:ancient-title
公主	công chúa	general	project:qt-corrections-v6:ancient-title
太子	thái tử	general	project:qt-corrections-v6:ancient-title
公子	công tử	general	project:qt-corrections-v6:ancient-title
姑娘	cô nương	general	project:qt-corrections-v6:ancient-title
少爷	thiếu gia	general	project:qt-corrections-v6:ancient-title
夫君	phu quân	general	project:qt-corrections-v6:ancient-spouse
相公	tướng công	general	project:qt-corrections-v6:ancient-spouse
郎君	lang quân	general	project:qt-corrections-v6:ancient-spouse
娘子	nương tử	general	project:qt-corrections-v6:ancient-spouse
师父	sư phụ	general	project:qt-corrections-v6:sect-address
师尊	sư tôn	general	project:qt-corrections-v6:sect-address
徒儿	đồ nhi	general	project:qt-corrections-v6:sect-address
